time; F_set; F_input; F_error; F_output +; F_output -; T_set; T_input; T_error; T_output +; T_output -; S_set; S_input; S_error; S_output +; S_output -; F_kp+; F_kp-; F_ki+; F_ki-; F_kd+; F_kd-; T_kp+; T_kp-; T_ki+; T_ki-; T_kd+; T_kd-; S_kp+; S_kp-; S_ki+; S_ki-; S_kd+; S_kd-
0.06; -0.35555; -0.00368; -0.35187; 0; 0.50068; 0.12021; 0.00285; 0.11736; 0.25519; 0; 0.17233; 0.00141; 0.17092; 0.37158; 0; -0.4785; 0.50068; 0; 0; 0; 0; 0.25519; -0.25508; 0; 0; 0; 0; 0.37158; -0.37156; 0; 0; 0; 0; 
0.1; 0.4657; -0.26136; 0.72706; 0.99287; 0; 0.39931; 0.23781; 0.1615; 0.35082; 0; 0.29137; 0.20568; 0.08569; 0.18527; 0; 0.98873; -1.03456; 0.00373; 0; 0.00041; 0.0005; 0.35117; -0.35102; 0.00212; 0; -0.00247; -0.00247; 0.18629; -0.18628; 0.00112; 0; -0.00215; -0.00215; 
0.14; 0.4662; -0.26861; 0.73481; 1; 0; 0.40843; 0.24084; 0.16759; 0.3687; 0; 0.28669; 0.21132; 0.07538; 0.16592; 0; 0.99927; -1.04559; 0.00072; 0; 1E-05; 1E-05; 0.36441; -0.36425; 0.00432; 0; -3E-05; -3E-05; 0.16387; -0.16386; 0.00211; 0; -6E-05; -6E-05; 
0.2; 0.46694; -0.25632; 0.72327; 0.98984; 0; 0.40647; 0.25514; 0.15133; 0.33625; 0; 0.27691; 0.22049; 0.05642; 0.12581; 0; 0.98356; -1.02916; 0.00629; 0; -1E-05; -2E-05; 0.32905; -0.3289; 0.0073; 0; -0.0001; -0.0001; 0.12265; -0.12264; 0.00322; 0; -6E-05; -6E-05; 
0.24; 0.46734; -0.21702; 0.68436; 0.9404; 0; 0.39608; 0.27792; 0.11816; 0.26555; 0; 0.268; 0.22754; 0.04046; 0.09164; 0; 0.93066; -0.9738; 0.00981; 0; -6E-05; -8E-05; 0.25694; -0.25683; 0.00885; 0; -0.00024; -0.00024; 0.08796; -0.08796; 0.00375; 0; -7E-05; -7E-05; 
0.28; 0.46766; -0.17717; 0.64483; 0.88995; 0; 0.37484; 0.30154; 0.0733; 0.16895; 0; 0.25702; 0.23411; 0.02292; 0.05381; 0; 0.87689; -0.91754; 0.01312; 0; -6E-05; -8E-05; 0.15939; -0.15932; 0.00981; 0; -0.00025; -0.00025; 0.04982; -0.04982; 0.00406; 0; -7E-05; -7E-05; 
0.32; 0.46797; -0.1163; 0.58427; 0.81056; 0; 0.32365; 0.33792; -0.01427; 0; 0.03083; 0.23748; 0.24317; -0.00569; 0; 0.01235; 0.79454; -0.83138; 0.01612; 0; -0.0001; -0.00012; -0.03104; 0.03103; 0; 0.00019; -0.00038; -0.00038; -0.01238; 0.01237; 0; 7E-05; -0.0001; -0.0001; 
0.38; 0.46808; -0.07764; 0.54573; 0.76241; 0; 0.28004; 0.35577; -0.07573; 0; 0.16615; 0.22343; 0.24575; -0.02232; 0; 0.04902; 0.74213; -0.77653; 0.02032; 0; -4E-05; -5E-05; -0.16467; 0.1646; 0; 0.00168; -0.00013; -0.00012; -0.04853; 0.04853; 0; 0.00051; -2E-05; -2E-05; 
0.42; 0.46812; -0.03866; 0.50679; 0.71204; 0; 0.23102; 0.37324; -0.14223; 0; 0.31249; 0.2091; 0.24828; -0.03918; 0; 0.08618; 0.68918; -0.72112; 0.02292; 0; -6E-05; -8E-05; -0.30926; 0.30913; 0; 0.00354; -0.00018; -0.00018; -0.08518; 0.08518; 0; 0.00103; -3E-05; -3E-05; 
0.46; 0.4681; -0.00489; 0.47299; 0.66851; 0; 0.18283; 0.37329; -0.19046; 0; 0.42; 0.19488; 0.24827; -0.0534; 0; 0.11781; 0.64322; -0.67304; 0.02535; 0; -5E-05; -7E-05; -0.41414; 0.41396; 0; 0.00604; 0; 0; -0.11608; 0.11608; 0; 0.00173; 0; 0; 
0.5; 0.46797; 0.04348; 0.42448; 0.6047; 0; 0.11756; 0.36523; -0.24767; 0; 0.54769; 0.17476; 0.24443; -0.06967; 0; 0.15414; 0.57725; -0.60401; 0.02753; 0; -8E-05; -9E-05; -0.53855; 0.53831; 0; 0.00929; 8E-05; 8E-05; -0.15147; 0.15146; 0; 0.00264; 4E-05; 4E-05; 
0.56; 0.46781; 0.07257; 0.39524; 0.56803; 0; 0.0839; 0.34938; -0.26548; 0; 0.59163; 0.16474; 0.23682; -0.07208; 0; 0.16081; 0.53749; -0.5624; 0.03057; 0; -3E-05; -4E-05; -0.57726; 0.57701; 0; 0.01451; 0.00011; 0.00011; -0.1567; 0.1567; 0; 0.00406; 5E-05; 5E-05; 
0.6; 0.46761; 0.09882; 0.36879; 0.53393; 0; 0.05947; 0.32748; -0.268; 0; 0.60076; 0.15821; 0.22609; -0.06788; 0; 0.15262; 0.50151; -0.52476; 0.03247; 0; -4E-05; -5E-05; -0.58276; 0.5825; 0; 0.01803; 0.00023; 0.00023; -0.14756; 0.14756; 0; 0.00495; 0.00011; 0.00011; 
0.64; 0.46736; 0.12219; 0.34517; 0.5036; 0; 0.04674; 0.29967; -0.25292; 0; 0.57136; 0.15654; 0.21232; -0.05578; 0; 0.12708; 0.4694; -0.49116; 0.03424; 0; -4E-05; -5E-05; -0.54996; 0.54972; 0; 0.02134; 0.00029; 0.00029; -0.12126; 0.12125; 0; 0.00568; 0.00014; 0.00014; 
0.68; 0.46691; 0.1558; 0.31111; 0.45886; 0; 0.04799; 0.2567; -0.20871; 0; 0.47816; 0.16231; 0.19172; -0.02941; 0; 0.07022; 0.42308; -0.44269; 0.03584; 0; -5E-05; -6E-05; -0.45383; 0.45363; 0; 0.02408; 0.00045; 0.00045; -0.06394; 0.06394; 0; 0.00607; 0.00022; 0.00022; 
0.74; 0.46656; 0.17765; 0.28891; 0.43092; 0; 0.06132; 0.22783; -0.16651; 0; 0.38947; 0.17109; 0.17811; -0.00702; 0; 0.02156; 0.39288; -0.4111; 0.03806; 0; -2E-05; -3E-05; -0.36207; 0.36191; 0; 0.02736; 0.0002; 0.0002; -0.01526; 0.01526; 0; 0.00621; 0.0001; 0.0001; 
0.78; 0.46617; 0.19619; 0.26998; 0.40656; 0; 0.08285; 0.19977; -0.11692; 0; 0.28331; 0.18246; 0.16638; 0.01608; 0.03528; 0; 0.36714; -0.38416; 0.03945; 0; -3E-05; -4E-05; -0.25423; 0.25412; 0; 0.02889; 0.0003; 0.00029; 0.03495; -0.03495; 0.00021; 0; 0.00012; 0.00012; 
0.82; 0.46574; 0.21476; 0.25098; 0.38201; 0; 0.1114; 0.17201; -0.06061; 0; 0.16171; 0.19579; 0.15481; 0.04097; 0.08994; 0; 0.3413; -0.35713; 0.04074; 0; -3E-05; -4E-05; -0.13179; 0.13173; 0; 0.02968; 0.00029; 0.00029; 0.08907; -0.08907; 0.00075; 0; 0.00012; 0.00012; 
0.88; 0.46504; 0.23812; 0.22693; 0.35105; 0; 0.15828; 0.14773; 0.01055; 0.02331; 0.00673; 0.21118; 0.1559; 0.05528; 0.122; 0; 0.3086; -0.3229; 0.04248; 0; -3E-05; -3E-05; 0.02293; -0.02292; 0.00021; 0.02948; 0.00017; 0.00017; 0.12017; -0.12016; 0.00184; 0; -1E-05; -1E-05; 
0.92; 0.46454; 0.25261; 0.21193; 0.33175; 0; 0.18907; 0.13721; 0.05185; 0.11375; 0; 0.21675; 0.15989; 0.05686; 0.12615; 0; 0.28821; -0.30157; 0.04357; 0; -2E-05; -3E-05; 0.11275; -0.1127; 0.00089; 0; 0.00011; 0.00011; 0.12361; -0.12361; 0.00258; 0; -4E-05; -4E-05; 
0.96; 0.46401; 0.26598; 0.19803; 0.31386; 0; 0.21553; 0.13258; 0.08294; 0.18238; 0; 0.21728; 0.16744; 0.04985; 0.11152; 0; 0.2693; -0.28178; 0.04459; 0; -2E-05; -3E-05; 0.18035; -0.18027; 0.00198; 0; 5E-05; 5E-05; 0.10837; -0.10836; 0.00324; 0; -8E-05; -8E-05; 
1; 0.46345; 0.27896; 0.18448; 0.29639; 0; 0.23701; 0.13122; 0.1058; 0.23343; 0; 0.21311; 0.17489; 0.03822; 0.08675; 0; 0.25088; -0.26251; 0.04554; 0; -2E-05; -3E-05; 0.23005; -0.22995; 0.00337; 0; 1E-05; 1E-05; 0.08309; -0.08308; 0.00374; 0; -8E-05; -8E-05; 
1.06; 0.46255; 0.29787; 0.16468; 0.27073; 0; 0.25824; 0.13336; 0.12488; 0.27735; 0; 0.19987; 0.18532; 0.01456; 0.0356; 0; 0.22395; -0.23433; 0.0468; 0; -2E-05; -2E-05; 0.27154; -0.27142; 0.00582; 0; -2E-05; -2E-05; 0.03165; -0.03164; 0.00402; 0; -7E-05; -7E-05; 
1.1; 0.46192; 0.31073; 0.15119; 0.25316; 0; 0.26214; 0.14818; 0.11396; 0.25496; 0; 0.18801; 0.18801; 0; 0.00402; 0; 0.2056; -0.21513; 0.04758; 0; -2E-05; -2E-05; 0.2478; -0.24769; 0.00732; 0; -0.00016; -0.00016; 0; 0; 0.00402; 0; 0; 0; 
1.14; 0.46125; 0.32377; 0.13748; 0.23523; 0; 0.25677; 0.1627; 0.09408; 0.21296; 0; 0.1746; 0.19355; -0.01895; 0; 0.04139; 0.18696; -0.19563; 0.04829; 0; -2E-05; -3E-05; 0.20456; -0.20447; 0.00856; 0; -0.00015; -0.00015; -0.0412; 0.0412; 0; 0.00025; -6E-05; -6E-05; 
1.18; 0.46021; 0.33892; 0.12129; 0.21383; 0; 0.23103; 0.19072; 0.04031; 0.09645; 0; 0.15389; 0.19308; -0.03919; 0; 0.08597; 0.16494; -0.17259; 0.04891; 0; -2E-05; -3E-05; 0.08766; -0.08762; 0.00908; 0; -0.00029; -0.00029; -0.0852; 0.0852; 0; 0.00076; 0; 0; 
1.24; 0.45949; 0.34842; 0.11107; 0.20079; 0; 0.20358; 0.20697; -0.00339; 0.00152; 0.00733; 0.14015; 0.19275; -0.0526; 0; 0.11616; 0.15104; -0.15804; 0.04976; 0; -1E-05; -1E-05; -0.00738; 0.00738; 0.00902; 7E-05; -0.00011; -0.00011; -0.11436; 0.11435; 0; 0.0018; 0; 0; 
1.28; 0.45875; 0.35724; 0.10151; 0.18831; 0; 0.17037; 0.22096; -0.0506; 0; 0.11055; 0.12654; 0.19242; -0.06588; 0; 0.14588; 0.13804; -0.14444; 0.05028; 0; -1E-05; -2E-05; -0.11002; 0.10997; 0; 0.00073; -0.00015; -0.00015; -0.14323; 0.14322; 0; 0.00266; 0; 0; 
1.32; 0.458; 0.36609; 0.09192; 0.17574; 0; 0.1331; 0.2305; -0.0974; 0; 0.2136; 0.11338; 0.19002; -0.07664; 0; 0.1703; 0.125; -0.13079; 0.05076; 0; -1E-05; -2E-05; -0.21179; 0.21169; 0; 0.00201; -0.0001; -0.0001; -0.16661; 0.1666; 0; 0.00367; 3E-05; 3E-05; 
1.36; 0.45685; 0.37921; 0.07764; 0.15672; 0; 0.07572; 0.23824; -0.16252; 0; 0.35728; 0.09591; 0.18334; -0.08743; 0; 0.19496; 0.10558; -0.11048; 0.05116; 0; -2E-05; -3E-05; -0.35338; 0.35323; 0; 0.00414; -8E-05; -8E-05; -0.19008; 0.19007; 0; 0.00482; 7E-05; 7E-05; 
1.42; 0.45607; 0.38761; 0.06846; 0.14478; 0; 0.04083; 0.23052; -0.18969; 0; 0.42022; 0.08756; 0.17323; -0.08567; 0; 0.19281; 0.0931; -0.09742; 0.05168; 0; -1E-05; -1E-05; -0.41247; 0.41229; 0; 0.00787; 5E-05; 5E-05; -0.18625; 0.18624; 0; 0.0065; 7E-05; 7E-05; 
1.46; 0.45528; 0.3958; 0.05948; 0.13287; 0; 0.01064; 0.22297; -0.21233; 0; 0.47223; 0.08252; 0.16325; -0.08073; 0; 0.18317; 0.08089; -0.08464; 0.05199; 0; -1E-05; -2E-05; -0.4617; 0.4615; 0; 0.01066; 8E-05; 8E-05; -0.17551; 0.1755; 0; 0.00756; 0.0001; 0.0001; 
1.5; 0.45448; 0.40197; 0.05251; 0.12366; 0; -0.01267; 0.20331; -0.21598; 0; 0.48312; 0.08141; 0.14823; -0.06682; 0; 0.15385; 0.07141; -0.07472; 0.05226; 0; -1E-05; -1E-05; -0.46963; 0.46942; 0; 0.01349; 0.00021; 0.00021; -0.14526; 0.14525; 0; 0.00844; 0.00016; 0.00016; 
1.54; 0.45325; 0.41043; 0.04283; 0.1107; 0; -0.03402; 0.17167; -0.20569; 0; 0.46358; 0.08671; 0.12601; -0.03929; 0; 0.0946; 0.05824; -0.06094; 0.05248; 0; -1E-05; -2E-05; -0.44725; 0.44706; 0; 0.01619; 0.00033; 0.00033; -0.08542; 0.08542; 0; 0.00895; 0.00023; 0.00023; 
1.6; 0.45243; 0.41538; 0.03704; 0.10313; 0; -0.039; 0.14735; -0.18635; 0; 0.42504; 0.09435; 0.1114; -0.01706; 0; 0.04647; 0.05038; -0.05271; 0.05276; 0; -1E-05; -1E-05; -0.4052; 0.40502; 0; 0.01985; 0.00017; 0.00017; -0.03708; 0.03708; 0; 0.00929; 0.0001; 0.0001; 
1.64; 0.45159; 0.41982; 0.03177; 0.09612; 0; -0.03735; 0.12378; -0.16114; 0; 0.37245; 0.10435; 0.09996; 0.00439; 0.00972; 0; 0.0432; -0.0452; 0.05293; 0; -1E-05; -1E-05; -0.35039; 0.35023; 0; 0.02197; 0.00025; 0.00025; 0.00955; -0.00954; 6E-05; 0; 0.00012; 0.00012; 
1.68; 0.45074; 0.42382; 0.02693; 0.08967; 0; -0.03015; 0.10093; -0.13109; 0; 0.30885; 0.11516; 0.09161; 0.02354; 0.05164; 0; 0.03662; -0.03831; 0.05306; 0; -1E-05; -1E-05; -0.28505; 0.28492; 0; 0.02368; 0.00024; 0.00024; 0.05119; -0.05118; 0.00037; 0; 9E-05; 9E-05; 
1.74; 0.44945; 0.42918; 0.02027; 0.08078; 0; -0.01035; 0.0674; -0.07775; 0; 0.19443; 0.12941; 0.0893; 0.04011; 0.08838; 0; 0.02757; -0.02884; 0.05322; 0; -1E-05; -1E-05; -0.16906; 0.16898; 0; 0.02521; 0.00024; 0.00023; 0.0872; -0.0872; 0.00116; 0; 2E-05; 2E-05; 
1.78; 0.44859; 0.43264; 0.01595; 0.07499; 0; 0.00798; 0.04538; -0.0374; 0; 0.10723; 0.13478; 0.091; 0.04378; 0.09689; 0; 0.02169; -0.0227; 0.0533; 0; -1E-05; -1E-05; -0.08133; 0.08129; 0; 0.0257; 0.00023; 0.00023; 0.09518; -0.09517; 0.00173; 0; -2E-05; -2E-05; 
1.82; 0.44771; 0.43484; 0.01287; 0.07087; 0; 0.02816; 0.02816; 0; 0; 0.0257; 0.13638; 0.09649; 0.03989; 0.08892; 0; 0.01751; -0.01832; 0.05337; 0; 0; 0; 0; 0; 0; 0.0257; 0; 0; 0.08672; -0.08672; 0.00225; 0; -6E-05; -6E-05; 
1.86; 0.44684; 0.43715; 0.00969; 0.06659; 0; 0.04928; 0.01471; 0.03457; 0.07577; 0; 0.13436; 0.10179; 0.03256; 0.07342; 0; 0.01317; -0.01378; 0.05342; 0; 0; 0; 0.07518; -0.07515; 0.00045; 0; 0.00014; 0.00014; 0.0708; -0.07079; 0.00268; 0; -6E-05; -6E-05; 
1.92; 0.44551; 0.44094; 0.00457; 0.05967; 0; 0.07656; 0.01064; 0.06592; 0.14511; 0; 0.12468; 0.11367; 0.01101; 0.02674; 0; 0.00622; -0.00651; 0.05345; 0; 0; 0; 0.14333; -0.14327; 0.00175; 0; 3E-05; 3E-05; 0.02393; -0.02393; 0.0029; 0; -8E-05; -8E-05; 
1.96; 0.44462; 0.44462; 0; 0.05345; 0; 0.09011; 0.01316; 0.07695; 0.17007; 0; 0.11469; 0.11849; -0.00379; 0; 0.00824; 0; 0; 0.05345; 0; 0; 0; 0.16733; -0.16726; 0.00276; 0; -3E-05; -3E-05; -0.00824; 0.00824; 0; 5E-05; -5E-05; -5E-05; 
2; 0.44373; 0.44673; -0.003; 0.04935; 0.00428; 0.09761; 0.02084; 0.07676; 0.1706; 0; 0.1035; 0.1203; -0.0168; 0; 0.03678; -0.00408; 0.00427; 0.05344; 2E-05; 0; 0; 0.16691; -0.16684; 0.00377; 0; -8E-05; -8E-05; -0.03653; 0.03653; 0; 0.00027; -2E-05; -2E-05; 
2.04; 0.44237; 0.4518; -0.00943; 0.04056; 0.01348; 0.09801; 0.03329; 0.06472; 0.14521; 0; 0.08556; 0.12074; -0.03517; 0; 0.07719; -0.01282; 0.01342; 0.05339; 7E-05; -1E-05; -1E-05; 0.14072; -0.14066; 0.00462; 0; -0.00013; -0.00013; -0.07647; 0.07647; 0; 0.00073; 0; 0; 
2.1; 0.44145; 0.45538; -0.01393; 0.03434; 0.02; 0.09138; 0.04173; 0.04966; 0.11352; 0; 0.0736; 0.12028; -0.04668; 0; 0.10312; -0.01894; 0.01982; 0.05328; 0.00019; 0; 0; 0.10798; -0.10793; 0.0056; 0; -6E-05; -6E-05; -0.10147; 0.10147; 0; 0.00165; 0; 0; 
2.14; 0.44054; 0.45559; -0.01505; 0.03273; 0.02169; 0.08; 0.0526; 0.0274; 0.06543; 0; 0.06175; 0.11982; -0.05808; 0; 0.12867; -0.02047; 0.02142; 0.0532; 0.00027; 0; 0; 0.05958; -0.05956; 0.00596; 0; -0.00011; -0.00011; -0.12626; 0.12626; 0; 0.00241; 0; 0; 
2.18; 0.43962; 0.45585; -0.01623; 0.03106; 0.02345; 0.06445; 0.06445; 0; 0.00596; 0; 0.05004; 0.11938; -0.06934; 0; 0.15407; -0.02207; 0.02309; 0.05312; 0.00036; 0; 0; 0; 0; 0.00596; 0; 0; 0; -0.15075; 0.15074; 0; 0.00332; 0; 0; 
2.22; 0.43825; 0.45624; -0.01799; 0.02857; 0.02606; 0.03655; 0.07248; -0.03593; 0; 0.07849; 0.03387; 0.1119; -0.07803; 0; 0.17405; -0.02446; 0.02559; 0.05303; 0.00046; 0; 0; -0.07813; 0.0781; 0; 0.00047; -8E-05; -8E-05; -0.16964; 0.16963; 0; 0.00435; 8E-05; 8E-05; 
2.28; 0.43734; 0.4565; -0.01916; 0.02682; 0.02789; 0.01672; 0.07375; -0.05703; 0; 0.12553; 0.02452; 0.10485; -0.08033; 0; 0.18061; -0.02606; 0.02727; 0.05288; 0.00063; 0; 0; -0.124; 0.12395; 0; 0.00159; -1E-05; -1E-05; -0.17464; 0.17463; 0; 0.00593; 5E-05; 5E-05; 
2.32; 0.43642; 0.45671; -0.02028; 0.02519; 0.0296; -0.00097; 0.07031; -0.07128; 0; 0.1575; 0.01728; 0.09577; -0.07849; 0; 0.17768; -0.02758; 0.02886; 0.05278; 0.00074; 0; 0; -0.155; 0.15494; 0; 0.00253; 4E-05; 4E-05; -0.17063; 0.17063; 0; 0.00696; 0.0001; 0.0001; 
2.36; 0.43551; 0.45687; -0.02136; 0.02363; 0.03125; -0.01637; 0.06533; -0.0817; 0; 0.18122; 0.01226; 0.08558; -0.07332; 0; 0.16741; -0.02904; 0.03039; 0.05267; 0.00086; 0; 0; -0.17764; 0.17757; 0; 0.0036; 5E-05; 5E-05; -0.15939; 0.15939; 0; 0.00792; 0.00011; 0.00011; 
2.4; 0.43414; 0.45701; -0.02286; 0.02146; 0.03352; -0.03458; 0.05561; -0.09019; 0; 0.2009; 0.00961; 0.06868; -0.05907; 0; 0.13728; -0.03109; 0.03254; 0.05255; 0.00099; 0; 0; -0.1961; 0.19602; 0; 0.00478; 0.0001; 0.0001; -0.12842; 0.12841; 0; 0.00869; 0.00018; 0.00018; 
2.46; 0.43323; 0.45705; -0.02382; 0.01997; 0.03509; -0.04339; 0.04597; -0.08935; 0; 0.20082; 0.01126; 0.05632; -0.04506; 0; 0.10762; -0.0324; 0.0339; 0.05237; 0.00119; 0; 0; -0.1943; 0.19421; 0; 0.00654; 7E-05; 7E-05; -0.09796; 0.09796; 0; 0.00958; 9E-05; 9E-05; 
2.5; 0.43232; 0.45707; -0.02475; 0.01858; 0.03655; -0.04962; 0.03645; -0.08607; 0; 0.19484; 0.01555; 0.04408; -0.02853; 0; 0.07211; -0.03366; 0.03522; 0.05224; 0.00133; 0; 0; -0.18715; 0.18707; 0; 0.00767; 0.0001; 0.0001; -0.06203; 0.06203; 0; 0.00995; 0.00013; 0.00013; 
2.54; 0.4314; 0.45707; -0.02567; 0.0172; 0.038; -0.05354; 0.02714; -0.08068; 0; 0.18417; 0.02201; 0.03248; -0.01047; 0; 0.03297; -0.03491; 0.03653; 0.05211; 0.00147; 0; 0; -0.17542; 0.17535; 0; 0.00873; 0.0001; 0.0001; -0.02275; 0.02275; 0; 0.01009; 0.00012; 0.00012; 
2.58; 0.43003; 0.45708; -0.02705; 0.01518; 0.04012; -0.05557; 0.01293; -0.0685; 0; 0.15866; 0.03466; 0.01821; 0.01646; 0.03614; 0; -0.03679; 0.03849; 0.05197; 0.00162; 0; 0; -0.14895; 0.14888; 0; 0.00963; 0.00015; 0.00015; 0.03578; -0.03577; 0.00022; 0; 0.00015; 0.00015; 
2.64; 0.42912; 0.4571; -0.02798; 0.0137; 0.04168; -0.05459; 0.00299; -0.05759; 0; 0.13599; 0.04339; 0.01271; 0.03068; 0.06756; 0; -0.03805; 0.03982; 0.05175; 0.00186; 0; 0; -0.12522; 0.12516; 0; 0.01076; 7E-05; 7E-05; 0.0667; -0.0667; 0.00082; 0; 4E-05; 4E-05; 
2.68; 0.4282; 0.45712; -0.02892; 0.01228; 0.04318; -0.05207; -0.00627; -0.0458; 0; 0.111; 0.05155; 0.01018; 0.04137; 0.09133; 0; -0.03933; 0.04115; 0.05161; 0.00202; 0; 0; -0.09959; 0.09954; 0; 0.01136; 0.0001; 0.0001; 0.08994; -0.08993; 0.00136; 0; 3E-05; 3E-05; 
2.72; 0.42729; 0.45715; -0.02986; 0.01084; 0.04468; -0.04851; -0.01489; -0.03362; 0; 0.08497; 0.05781; 0.01055; 0.04726; 0.10472; 0; -0.04061; 0.04249; 0.05145; 0.00219; 0; 0; -0.07311; 0.07308; 0; 0.0118; 9E-05; 9E-05; 0.10274; -0.10273; 0.00198; 0; 0; 0; 
2.78; 0.42592; 0.45719; -0.03127; 0.00868; 0.04696; -0.04193; -0.02441; -0.01752; 0; 0.05029; 0.06242; 0.01787; 0.04455; 0.09967; 0; -0.04253; 0.0445; 0.05121; 0.00245; 0; 0; -0.0381; 0.03808; 0; 0.01214; 7E-05; 7E-05; 0.09686; -0.09685; 0.00286; 0; -5E-05; -5E-05; 
2.82; 0.425; 0.45722; -0.03222; 0.00723; 0.04848; -0.03723; -0.02964; -0.0076; 0; 0.02881; 0.06128; 0.02486; 0.03642; 0.08245; 0; -0.04382; 0.04585; 0.05105; 0.00264; 0; 0; -0.01652; 0.01652; 0; 0.01224; 5E-05; 5E-05; 0.07918; -0.07918; 0.00334; 0; -7E-05; -7E-05; 
2.86; 0.42408; 0.45726; -0.03318; 0.00576; 0.05003; -0.03235; -0.03466; 0.00231; 0.0051; 0.00725; 0.05701; 0.03184; 0.02518; 0.05833; 0; -0.04512; 0.04721; 0.05088; 0.00282; 0; 0; 0.00502; -0.00501; 3E-05; 0.01221; 5E-05; 5E-05; 0.05473; -0.05473; 0.00367; 0; -7E-05; -7E-05; 
2.9; 0.42317; 0.45735; -0.03419; 0.00421; 0.05166; -0.02592; -0.04117; 0.01525; 0.03345; 0; 0.04705; 0.0408; 0.00625; 0.01725; 0; -0.04649; 0.04864; 0.0507; 0.00301; 0; 0; 0.03316; -0.03314; 0.00023; 0; 7E-05; 7E-05; 0.0136; -0.01359; 0.00375; 0; -9E-05; -9E-05; 
2.96; 0.42179; 0.45743; -0.03564; 0.00196; 0.05403; -0.02016; -0.04518; 0.02502; 0.05517; 0; 0.03559; 0.04622; -0.01063; 0; 0.02328; -0.04847; 0.05072; 0.05043; 0.00332; 0; 0; 0.05441; -0.05439; 0.00072; 0; 3E-05; 3E-05; -0.02311; 0.02311; 0; 0.00021; -4E-05; -4E-05; 
3; 0.42088; 0.4575; -0.03662; 0.00043; 0.05563; -0.01621; -0.04536; 0.02915; 0.0645; 0; 0.02468; 0.04689; -0.02221; 0; 0.04877; -0.0498; 0.05211; 0.05024; 0.00352; 0; 0; 0.06339; -0.06336; 0.00111; 0; 0; 0; -0.04828; 0.04828; 0; 0.0005; -1E-05; -1E-05; 
3.04; 0.41996; 0.45756; -0.0376; 0; 0.05724; -0.01327; -0.0456; 0.03233; 0.07183; 0; 0.01342; 0.04753; -0.03411; 0; 0.07509; -0.05114; 0.05351; 0; 0.00373; 0; 0; 0.0703; -0.07027; 0.00153; 0; 0; 0; -0.07415; 0.07415; 0; 0.00095; -1E-05; -1E-05; 
3.08; 0.41859; 0.45495; -0.03636; 0; 0.05568; -0.01207; -0.03992; 0.02785; 0.0624; 0; -0.00297; 0.04671; -0.04969; 0; 0.10962; -0.04945; 0.05174; 0; 0.00394; 0; 1E-05; 0.06056; -0.06054; 0.0019; 0; -6E-05; -6E-05; -0.10802; 0.10801; 0; 0.0016; 1E-05; 1E-05; 
3.14; 0.41769; 0.45327; -0.03558; 0; 0.05487; -0.01336; -0.03666; 0.0233; 0.05299; 0; -0.01325; 0.04466; -0.05791; 0; 0.12865; -0.04839; 0.05063; 0; 0.00424; 0; 0; 0.05066; -0.05064; 0.00235; 0; -2E-05; -2E-05; -0.1259; 0.12589; 0; 0.00274; 1E-05; 1E-05; 
3.18; 0.41678; 0.45165; -0.03486; 0; 0.05404; -0.01585; -0.03386; 0.01801; 0.04172; 0; -0.02263; 0.04112; -0.06375; 0; 0.14219; -0.04741; 0.0496; 0; 0.00443; 0; 0; 0.03916; -0.03914; 0.00259; 0; -3E-05; -3E-05; -0.13859; 0.13858; 0; 0.00358; 4E-05; 4E-05; 
3.22; 0.41589; 0.44988; -0.034; 0; 0.053; -0.0197; -0.03068; 0.01098; 0.02658; 0; -0.03113; 0.03662; -0.06776; 0; 0.15181; -0.04623; 0.04838; 0; 0.00462; 0; 0; 0.02387; -0.02386; 0.00274; 0; -3E-05; -3E-05; -0.1473; 0.14729; 0; 0.00447; 5E-05; 5E-05; 
3.26; 0.41454; 0.44703; -0.03248; 0; 0.05103; -0.02733; -0.02733; 0; 0.00274; 0; -0.04191; 0.02804; -0.06996; 0; 0.15755; -0.04417; 0.04622; 0; 0.00481; 0; 1E-05; 0; 0; 0.00274; 0; 0; 0; -0.15209; 0.15208; 0; 0.00538; 9E-05; 9E-05; 
3.32; 0.41366; 0.44385; -0.03019; 0; 0.04803; -0.03207; -0.02963; -0.00244; 0; 0.00536; -0.0473; 0.02054; -0.06785; 0; 0.15426; -0.04106; 0.04296; 0; 0.00506; 0; 0; -0.0053; 0.0053; 0; 5E-05; 2E-05; 2E-05; -0.1475; 0.14749; 0; 0.00672; 5E-05; 5E-05; 
3.36; 0.41277; 0.44066; -0.02789; 0; 0.04491; -0.03575; -0.03227; -0.00349; 0; 0.0077; -0.0511; 0.01312; -0.06422; 0; 0.14725; -0.03793; 0.03968; 0; 0.00522; 1E-05; 1E-05; -0.00758; 0.00758; 0; 9E-05; 3E-05; 3E-05; -0.13962; 0.13961; 0; 0.00756; 8E-05; 8E-05; 
3.4; 0.4119; 0.43729; -0.0254; 0; 0.0415; -0.03831; -0.0351; -0.00321; 0; 0.00715; -0.05329; 0.00513; -0.05842; 0; 0.13541; -0.03453; 0.03614; 0; 0.00536; 1E-05; 1E-05; -0.00699; 0.00699; 0; 0.00014; 3E-05; 3E-05; -0.127; 0.127; 0; 0.00833; 8E-05; 8E-05; 
